,song_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year,semi_final,semi_draw_position,final_draw_position,country,language,style,direct_qualifier_10,gender,main_singers,age,selection,key_change_10,backing_dancers,backing_singers,backing_instruments,instrument_10,qualified_10,final_televote_points,final_jury_points,final_televote_votes,final_jury_votes,final_place,final_total_points,semi_place,semi_televote_points,semi_jury_points,semi_total_points,favourite_10,race,host_10
58,Lock Me In,Hojean,0.587,0.559,10,-5.095,0,0.0362,0.005,4.33e-05,0.0956,0.787,124.005,2022,2,5,-,Georgia,English,Rock,-,Male,1,unknown,unknown,unknown,0,0,3,1,0,,,,,,,18.0,9.0,13.0,22.0,0,unknown,0
59,I Am What I Am,King Von,0.798,0.673,1,-5.628,1,0.289,0.0746,0.0,0.126,0.405,141.12,2022,2,6,-,Malta,English,Pop,-,Female,1,unknown,unknown,unknown,4,0,0,1,0,,,,,,,16.0,20.0,27.0,47.0,0,unknown,0
60,Stripper,Migos,0.953,0.782,1,-4.443,1,0.214,0.0507,0.0,0.0785,0.823,132.947,2022,2,7,-,San Marino,"Italian, English",Rock,-,Male,1,unknown,unknown,unknown,0,0,5,0,0,,,,,,,14.0,29.0,21.0,50.0,0,unknown,0
61,Not the Same,The Strokes,0.353,0.613,9,-5.9,1,0.031,0.384,0.0123,0.103,0.282,177.375,2022,2,8,21,Australia,English,Ballad,0,Male,1,unknown,unknown,unknown,0,0,0,0,1,2.0,123.0,1.0,23.0,15.0,125.0,2.0,74.0,169.0,243.0,0,unknown,0
62,Ela,Sia,0.421,0.791,9,-4.998,1,0.0496,0.0117,1.48e-05,0.146,0.499,130.075,2022,2,9,-,Cyprus,"English,ï¿½Greek",Pop,-,Female,1,unknown,unknown,unknown,2,0,0,0,0,,,,,,,12.0,54.0,9.0,63.0,0,unknown,0
63,That's Rich,Various Artists,0.64,0.3,5,-10.257,1,0.139,0.576,0.0,0.199,0.46,133.949,2022,2,10,-,Ireland,English,Pop,-,Female,1,unknown,unknown,unknown,4,0,0,0,0,,,,,,,15.0,35.0,12.0,47.0,0,unknown,0
64,Circles,Post Malone,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,2022,2,11,-,North Macedonia,English,Ballad,-,Female,1,unknown,unknown,unknown,0,0,0,0,0,,,,,,,11.0,20.0,56.0,76.0,0,unknown,0
65,Hope,XXXTENTACION,0.592,0.457,9,-6.081,0,0.0603,0.661,0.000331,0.146,0.225,146.04,2022,2,12,25,Estonia,English,Pop,0,Male,1,unknown,unknown,unknown,0,0,0,1,1,98.0,43.0,19.0,8.0,13.0,141.0,5.0,96.0,113.0,209.0,0,unknown,0
66,Llamame,Adolescent's Orquesta,0.798,0.653,5,-9.586,0,0.0531,0.442,2.64e-06,0.191,0.967,109.683,2022,2,13,2,Romania,"English,ï¿½Spanish",Pop,0,Male,1,unknown,unknown,unknown,4,0,0,0,1,53.0,12.0,12.0,3.0,18.0,65.0,9.0,100.0,18.0,118.0,0,unknown,0
67,River,Bishop Briggs,0.733,0.477,2,-6.737,0,0.0687,0.302,2.97e-06,0.0579,0.545,62.507,2022,2,14,23,Poland,English,Ballad,0,Male,1,unknown,unknown,unknown,4,0,0,0,1,105.0,46.0,22.0,9.0,12.0,151.0,6.0,114.0,84.0,198.0,0,unknown,0
