song_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year,country,language,style,gender,main_singers,backing_dancers,backing_singers,backing_instruments,semi_place,eng_lan,inc_eng_lan,Male,Female,Pop,Rock,Ballad,Traditional,Dance,is_final
Jezebel,Sade,0.579,0.226,2,-12.419,0,0.029,0.802,6.94e-05,0.124,0.202,92.43,2022,Finland,English,Rock,Male,1,0,0,3,7.0,1,0,1,0,0,1,0,0,0,1
I.M,Kodak Black,0.79,0.663,8,-8.074,0,0.156,0.304,0.0,0.0892,0.919,130.97,2022,Israel,English,Pop,Male,1,4,0,0,13.0,1,0,1,0,1,0,0,0,0,0
In corpore sano,Konstrakta,0.922,0.705,0,-7.457,1,0.0841,0.00641,1.47e-05,0.169,0.629,135.944,2022,Serbia,"Serbian,ï¿½Latin",Traditional,Female,1,5,0,0,3.0,0,0,0,1,0,0,0,1,0,1
Fade to Black,Metallica,0.256,0.929,7,-6.667,1,0.113,0.00311,0.201,0.11,0.278,113.47,2022,Azerbaijan,English,Ballad,Male,1,1,0,0,10.0,1,0,1,0,0,0,1,0,0,1
Lock Me In,Hojean,0.587,0.559,10,-5.095,0,0.0362,0.005,4.33e-05,0.0956,0.787,124.005,2022,Georgia,English,Rock,Male,1,0,0,3,18.0,1,0,1,0,0,1,0,0,0,0
I Am What I Am,King Von,0.798,0.673,1,-5.628,1,0.289,0.0746,0.0,0.126,0.405,141.12,2022,Malta,English,Pop,Female,1,4,0,0,16.0,1,0,0,1,1,0,0,0,0,0
Stripper,Migos,0.953,0.782,1,-4.443,1,0.214,0.0507,0.0,0.0785,0.823,132.947,2022,San Marino,"Italian, English",Rock,Male,1,0,0,5,14.0,0,1,1,0,0,1,0,0,0,0
Not the Same,The Strokes,0.353,0.613,9,-5.9,1,0.031,0.384,0.0123,0.103,0.282,177.375,2022,Australia,English,Ballad,Male,1,0,0,0,2.0,1,0,1,0,0,0,1,0,0,1
Ela,Sia,0.421,0.791,9,-4.998,1,0.0496,0.0117,1.48e-05,0.146,0.499,130.075,2022,Cyprus,"English,ï¿½Greek",Pop,Female,1,2,0,0,12.0,0,1,0,1,1,0,0,0,0,0
That's Rich,Various Artists,0.64,0.3,5,-10.257,1,0.139,0.576,0.0,0.199,0.46,133.949,2022,Ireland,English,Pop,Female,1,4,0,0,15.0,1,0,0,1,1,0,0,0,0,0
Circles,Post Malone,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,2022,North Macedonia,English,Ballad,Female,1,0,0,0,11.0,1,0,0,1,0,0,1,0,0,0
Hope,XXXTENTACION,0.592,0.457,9,-6.081,0,0.0603,0.661,0.000331,0.146,0.225,146.04,2022,Estonia,English,Pop,Male,1,0,0,0,5.0,1,0,1,0,1,0,0,0,0,1
Llamame,Adolescent's Orquesta,0.798,0.653,5,-9.586,0,0.0531,0.442,2.64e-06,0.191,0.967,109.683,2022,Romania,"English,ï¿½Spanish",Pop,Male,1,4,0,0,9.0,0,1,1,0,1,0,0,0,0,1
River,Bishop Briggs,0.733,0.477,2,-6.737,0,0.0687,0.302,2.97e-06,0.0579,0.545,62.507,2022,Poland,English,Ballad,Male,1,4,0,0,6.0,1,0,1,0,0,0,1,0,0,1
Breathe,Yeat,0.771,0.541,11,-13.0,1,0.0612,0.0275,0.881,0.105,0.106,118.064,2022,Montenegro,"English, Italian",Ballad,Female,1,0,0,0,17.0,0,1,0,1,0,0,1,0,0,0
Miss You,Various Artists,0.587,0.742,6,-6.64,0,0.0529,0.0128,0.00107,0.146,0.199,145.007,2022,Belgium,English,Pop,Male,1,4,0,0,8.0,1,0,1,0,1,0,0,0,0,1
Hold Me Closer,"Elton John, Britney Spears",0.667,0.75,0,-4.602,1,0.0906,0.0746,0.000198,0.197,0.486,126.041,2022,Sweden,English,Ballad,Female,1,0,0,0,1.0,1,0,0,1,0,0,1,0,0,1
Lights Off,Bandiicam,0.486,0.812,2,-9.59,0,0.523,0.0504,0.0,0.221,0.788,141.544,2022,Czech Republic,English,Dance,Female,1,0,0,2,4.0,1,0,0,1,0,0,0,0,1,1
Discoteque,The King Of Beats,0.803,0.626,7,-9.556,1,0.128,0.356,0.938,0.11,0.97,130.988,2021,Lithuania,English,Dance,Male,1,2,2,2,4.0,1,0,1,0,0,0,0,0,1,1
Amen,for KING & COUNTRY,0.64,0.469,7,-8.718,1,0.0412,0.00758,0.000453,0.0711,0.305,90.001,2021,Slovenia,English,Ballad,Female,1,0,0,0,13.0,1,0,0,1,0,0,1,0,0,0
Russian Woman,Manizha,0.89,0.701,4,-7.061,0,0.194,0.204,0.0,0.0741,0.652,102.001,2021,Russia,"Russian, English",Traditional,Female,1,0,4,0,3.0,0,1,0,1,0,0,0,1,0,1
Voices,Falling In Reverse,0.546,0.898,2,-3.067,0,0.162,0.0266,0.0,0.129,0.639,173.17,2021,Sweden,English,Pop,Male,1,4,0,0,7.0,1,0,1,0,1,0,0,0,0,1
Technicolour,Oh Wonder,0.597,0.363,5,-10.365,0,0.0314,0.626,2.96e-05,0.0848,0.0785,130.022,2021,Australia,English,Pop,Female,1,3,0,0,14.0,1,0,0,1,1,0,0,0,0,0
Here I Stand,USHER,0.535,0.528,5,-5.763,1,0.0461,0.322,0.0,0.24,0.261,119.796,2021,North Macedonia,English,Ballad,Male,1,0,0,0,15.0,1,0,1,0,0,0,1,0,0,0
Maps,Maroon 5,0.742,0.713,1,-5.522,0,0.0303,0.0205,0.0,0.059,0.879,120.032,2021,Ireland,English,Pop,Female,1,0,0,0,16.0,1,0,0,1,1,0,0,0,0,0
El Diablo,La Santa Grifa,0.89,0.619,7,-4.364,1,0.411,0.167,0.0,0.186,0.725,126.506,2021,Cyprus,English,Pop,Female,1,4,0,0,6.0,1,0,0,1,1,0,0,0,0,1
Fallen Angel,Mass of Man,0.804,0.482,9,-10.376,1,0.282,0.253,0.0,0.107,0.194,119.887,2021,Norway,English,Pop,Male,1,4,0,0,10.0,1,0,1,0,1,0,0,0,0,1
Tick-Tock,Hans Zimmer,0.261,0.231,9,-15.826,0,0.0388,0.271,0.9,0.239,0.0396,119.89,2021,Croatia,"English,ï¿½Croatian",Pop,Female,1,4,0,0,11.0,0,1,0,1,1,0,0,0,0,0
The Wrong Place,Hooverphonic,0.491,0.728,5,-4.482,1,0.0428,0.0479,1.38e-06,0.16,0.246,80.239,2021,Belgium,English,Ballad,Female,1,0,1,3,9.0,1,0,0,1,0,0,1,0,0,1
Set Me Free,Jimin,0.585,0.815,0,-4.165,0,0.0565,0.115,0.0,0.124,0.564,132.09,2021,Israel,English,Pop,Female,1,4,0,0,5.0,1,0,0,1,1,0,0,0,0,1
Amnesia,La Santa Grifa,0.818,0.638,11,-6.926,0,0.225,0.00673,0.0,0.495,0.783,112.753,2021,Romania,English,Ballad,Female,1,5,0,0,12.0,1,0,0,1,0,0,1,0,0,0
Mata Hari,Intervals,0.499,0.966,1,-4.841,1,0.107,2.58e-06,0.794,0.15,0.523,114.967,2021,Azerbaijan,English,Pop,Female,1,4,0,0,8.0,1,0,0,1,1,0,0,0,0,1
Shum,Go_A,0.527,0.736,4,-5.341,1,0.0638,0.05,7.89e-05,0.105,0.503,117.657,2021,Ukraine,Ukrainian,Traditional,Female,1,2,0,3,2.0,0,0,0,1,0,0,0,1,0,1
Je me casse,Destiny,0.763,0.87,8,-4.493,0,0.107,0.148,0.0,0.277,0.783,111.988,2021,Malta,English,Pop,Female,1,4,0,0,1.0,1,0,0,1,1,0,0,0,0,1
Adrenalina,"Natanael Cano, Dan Sanchez",0.733,0.455,8,-9.338,1,0.0385,0.00985,0.0,0.199,0.417,136.472,2021,San Marino,English,Dance,Mix,2,4,0,0,9.0,1,0,0,0,0,0,0,0,1,1
The Lucky One,Taylor Swift,0.686,0.571,4,-7.138,1,0.05,0.066,0.0,0.0608,0.538,117.889,2021,Estonia,English,Ballad,Male,1,0,0,0,13.0,1,0,1,0,0,0,1,0,0,0
Omaga,Benny Cristo,0.717,0.872,6,-5.647,1,0.033,0.109,0.00156,0.344,0.886,122.012,2021,Czech Republic,English,Ballad,Male,1,4,0,0,15.0,1,0,1,0,0,0,1,0,0,0
Last Dance,Donna Summer,0.605,0.612,3,-13.399,1,0.0439,0.121,0.00236,0.22,0.5,125.37,2021,Greece,English,Pop,Female,1,4,0,0,6.0,1,0,0,1,1,0,0,0,0,1
Amen,for KING & COUNTRY,0.64,0.469,7,-8.718,1,0.0412,0.00758,0.000453,0.0711,0.305,90.001,2021,Austria,English,Ballad,Male,1,0,0,0,12.0,1,0,1,0,0,0,1,0,0,0
The Ride,David Allan Coe,0.668,0.429,5,-12.365,1,0.0464,0.241,0.0,0.129,0.531,83.504,2021,Poland,English,Pop,Male,1,4,0,0,14.0,1,0,1,0,1,0,0,0,0,0
Sugar,ElyOtto,0.748,0.734,0,-6.499,1,0.124,0.524,1.15e-05,0.0975,0.368,97.753,2021,Moldova,English,Pop,Female,1,4,0,0,7.0,1,0,0,1,1,0,0,0,0,1
10 Years,Nico Ducarme,0.644,0.334,10,-10.053,1,0.0652,0.616,0.00105,0.205,0.309,117.93,2021,Iceland,English,Pop,Male,1,0,2,3,2.0,1,0,1,0,1,0,0,0,0,1
Loco Loco,Dionis Fernandez,0.592,0.549,8,-14.666,1,0.0396,0.206,3.31e-05,0.0313,0.887,111.245,2021,Serbia,Serbian,Pop,Female,3,0,0,0,8.0,0,0,0,1,1,0,0,0,0,1
You,Taylor Swift,0.687,0.783,6,-4.44,1,0.0386,0.162,1.35e-05,0.114,0.443,129.964,2021,Georgia,English,Ballad,Male,1,0,0,0,16.0,1,0,1,0,0,0,1,0,0,0
Karma,Taylor Swift,0.642,0.62,8,-7.091,1,0.0666,0.0734,0.0,0.483,0.0969,90.02,2021,Albania,Albanian,Ballad,Female,1,0,0,0,10.0,0,0,0,1,0,0,1,0,0,1
Love Is on My Side,Brandy,0.489,0.512,0,-7.704,1,0.0323,0.374,4.49e-06,0.0666,0.158,127.893,2021,Portugal,English,Traditional,Male,1,0,0,4,4.0,1,0,1,0,0,0,0,1,0,1
Growing Up Is Getting Old,Jason Michael Carroll,0.543,0.803,7,-4.504,1,0.0379,0.0533,0.0,0.302,0.668,145.986,2021,Bulgaria,English,Ballad,Female,1,0,0,0,3.0,1,0,0,1,0,0,1,0,0,1
Dark Side,XAN$X,0.731,0.509,7,-7.818,1,0.0457,0.559,0.663,0.111,0.963,120.047,2021,Finland,English,Rock,Male,2,0,1,3,5.0,1,0,1,0,0,1,0,0,0,1
The Moon Is Rising,"Arthur ""Big Boy"" Crudup",0.71,0.0461,5,-16.674,0,0.0459,0.708,0.0,0.109,0.5,73.515,2021,Latvia,English,Ballad,Female,1,3,0,0,17.0,1,0,0,1,0,0,1,0,0,0
Tout l'univers,Gjon's Tears,0.532,0.363,9,-9.131,0,0.0317,0.824,5.08e-06,0.107,0.183,123.472,2021,Switzerland,French,Ballad,Male,1,0,0,0,1.0,0,0,1,0,0,0,1,0,0,1
Ove os pa hinanden,Fyr Og Flamme,0.678,0.867,0,-5.85,1,0.0268,0.0128,3.19e-05,0.344,0.961,124.001,2021,Denmark,Danish,Pop,Male,2,0,3,0,11.0,0,0,1,0,1,0,0,0,0,0
Replay,Iyaz,0.706,0.751,9,-6.323,1,0.0708,0.173,0.0,0.168,0.195,91.031,2019,Cyprus,English,Dance,Female,1,4,0,0,9.0,1,0,0,1,0,0,0,0,1,1
Heaven,Michael Jackson,0.706,0.685,11,-3.669,1,0.0837,0.56,0.0,0.22,0.444,117.448,2019,Montenegro,English,Pop,Mix,6,0,0,0,16.0,1,0,0,0,1,0,0,0,0,0
Look Away,Geek Music,0.7,0.731,6,-10.063,0,0.0924,0.613,0.0,0.24,0.722,135.884,2019,Finland,English,Dance,Male,1,1,0,1,17.0,1,0,1,0,0,0,0,0,1,0
Fire of Love,Jesse Jo Stark,0.356,0.816,7,-3.464,1,0.039,0.00719,0.00103,0.757,0.527,174.131,2019,Poland,"Polish, English",Traditional,Female,4,0,0,0,11.0,0,1,0,1,0,0,0,1,0,0
Sebi,"Justin Hurwitz, Justin Paul, Benj Pasek",0.476,0.192,9,-15.753,1,0.064,0.976,0.928,0.119,0.114,116.542,2019,Slovenia,Slovene,Ballad,Mix,2,0,0,0,6.0,0,0,0,0,0,0,1,0,0,1
Friend of a Friend,The Smile,0.383,0.312,10,-12.037,1,0.0324,0.567,0.796,0.107,0.26,123.446,2019,Czech Republic,English,Pop,Male,1,0,0,2,2.0,1,0,1,0,1,0,0,0,0,1
Az en apam,Kárpátia,0.759,0.82,4,-7.315,0,0.0299,0.327,1.33e-06,0.295,0.967,109.993,2019,Hungary,Hungarian,Ballad,Male,1,0,0,0,12.0,0,0,1,0,0,0,1,0,0,0
Like It,Diana and Roma,0.979,0.538,6,-6.743,1,0.0798,0.017,0.00219,0.0438,0.789,120.052,2019,Belarus,English,Dance,Female,1,2,2,0,10.0,1,0,0,1,0,0,0,0,1,1
Kruna,Nevena Božović,0.2,0.476,8,-6.411,0,0.0305,0.215,0.0,0.126,0.162,158.494,2019,Serbia,Serbian,Ballad,Female,1,0,0,0,7.0,0,0,0,1,0,0,1,0,0,1
Wake Up,MoonDeity,0.676,0.617,0,-4.626,1,0.0414,0.000816,0.636,0.227,0.718,124.978,2019,Belgium,English,Ballad,Male,1,0,0,2,13.0,1,0,1,0,0,0,1,0,0,0
